T	M_avg	M_err	E_avg	E_err	Cv	Cv_err	Chi	Chi_err
0.500	1.000000	0.000000	-32767.990234	0.005765	0.000020	0.000011	-0.000000	0.000000
0.607	0.999997	0.000001	-32767.773438	0.026951	0.000300	0.000036	0.000000	0.000000
0.715	0.999972	0.000002	-32766.146484	0.078301	0.001832	0.000104	0.000000	0.000000
0.822	0.999878	0.000004	-32760.078125	0.159194	0.005723	0.000200	0.000000	0.000000
0.929	0.999612	0.000008	-32742.935547	0.287722	0.014626	0.000444	0.000000	0.000000
1.037	0.999026	0.000012	-32705.658203	0.446074	0.028252	0.000828	0.000000	0.000000
1.144	0.997902	0.000019	-32635.275391	0.676868	0.053417	0.001505	0.000000	0.000000
1.251	0.995998	0.000027	-32518.462891	0.933955	0.085001	0.002362	0.000000	0.000000
1.359	0.992947	0.000037	-32336.345703	1.233635	0.125796	0.003469	0.000000	0.000000
1.466	0.988435	0.000050	-32075.419922	1.574881	0.176095	0.004900	0.000000	0.000000
1.573	0.981657	0.000066	-31701.109375	1.980729	0.241840	0.006762	0.000000	0.000000
1.681	0.972138	0.000089	-31204.343750	2.470124	0.329605	0.009100	0.000000	0.000000
1.788	0.958512	0.000120	-30541.753906	3.018736	0.434946	0.012113	0.000000	0.000000
1.895	0.939315	0.000159	-29688.962891	3.597249	0.549654	0.015498	0.000000	0.000000
2.003	0.910386	0.000242	-28572.728516	4.296515	0.702321	0.019961	0.000000	0.000000
2.110	0.863010	0.000428	-27072.875000	5.477787	1.028408	0.029747	0.000000	0.000000
2.114	0.860229	0.000426	-26997.767578	5.381378	0.988507	0.027926	0.000000	0.000000
2.119	0.854872	0.000463	-26886.636719	5.667919	1.092147	0.031712	0.000000	0.000000
2.123	0.856270	0.000445	-26866.728516	5.507262	1.026952	0.029833	0.000000	0.000000
2.127	0.851154	0.000466	-26763.886719	5.641012	1.073101	0.030551	0.000000	0.000000
2.131	0.849565	0.000460	-26709.558594	5.480630	1.008880	0.028014	0.000000	0.000000
2.136	0.847957	0.000445	-26651.193359	5.709612	1.090554	0.030472	0.000000	0.000000
2.140	0.843108	0.000472	-26550.869141	5.680530	1.075153	0.032169	0.000000	0.000000
2.144	0.838993	0.000561	-26476.880859	5.880581	1.147612	0.034213	0.000000	0.000000
2.149	0.837257	0.000487	-26402.246094	5.606138	1.038838	0.028789	0.000000	0.000000
2.153	0.832021	0.000536	-26316.240234	5.831694	1.119642	0.032078	0.000000	0.000000
2.157	0.830446	0.000538	-26247.578125	5.981371	1.173178	0.033688	0.000000	0.000000
2.161	0.826883	0.000557	-26157.269531	6.008038	1.178972	0.034020	0.000000	0.000000
2.166	0.823364	0.000583	-26081.236328	6.108222	1.213801	0.035630	0.000000	0.000000
2.170	0.814613	0.000646	-25938.669922	6.346451	1.305156	0.037600	0.000000	0.000000
2.174	0.810519	0.000684	-25881.630859	6.210162	1.244780	0.036122	0.000000	0.000000
2.179	0.806953	0.000819	-25790.693359	6.617916	1.408053	0.040875	0.000000	0.000000
2.183	0.805477	0.000689	-25707.570312	6.359424	1.295105	0.036335	0.000000	0.000000
2.187	0.804789	0.000712	-25663.785156	6.626890	1.400830	0.040200	0.000000	0.000000
2.191	0.795743	0.000743	-25529.552734	6.628011	1.395828	0.039791	0.000000	0.000000
2.196	0.793036	0.000694	-25458.367188	6.323229	1.265453	0.034339	0.000000	0.000000
2.200	0.779275	0.001127	-25300.685547	7.072407	1.576918	0.043795	0.000000	0.000000
2.204	0.777178	0.000908	-25222.283203	6.903715	1.496752	0.041921	0.000000	0.000000
2.209	0.777822	0.000842	-25172.556641	6.803055	1.447789	0.039621	0.000000	0.000000
2.213	0.767297	0.000968	-25026.279297	7.070747	1.557916	0.046971	0.000000	0.000000
2.217	0.755875	0.001328	-24905.744141	6.967676	1.506984	0.042828	0.000000	0.000000
2.221	0.752851	0.000923	-24825.308594	6.709721	1.392080	0.040185	0.000000	0.000000
2.226	0.742380	0.001352	-24713.232422	7.273172	1.629405	0.047126	0.000000	0.000000
2.230	0.732319	0.001046	-24552.636719	6.919114	1.468964	0.040674	0.000000	0.000000
2.234	0.706097	0.001757	-24383.484375	7.635087	1.781848	0.052084	0.000000	0.000000
2.239	0.711823	0.001818	-24319.820312	8.150967	2.023002	0.053858	0.000000	0.000000
