T	M_avg	M_err	E_avg	E_err	Cv	Cv_err	Chi	Chi_err
0.500	1.000000	0.000001	-8191.992676	0.004798	0.000056	0.000037	0.000000	0.000000
0.607	0.999995	0.000002	-8191.925293	0.015462	0.000396	0.000082	0.000000	0.000000
0.715	0.999972	0.000004	-8191.541016	0.038347	0.001757	0.000153	0.000000	0.000000
0.822	0.999883	0.000008	-8190.092285	0.078488	0.005565	0.000282	0.000000	0.000000
0.929	0.999616	0.000016	-8185.789551	0.143563	0.014565	0.000531	0.000000	0.000000
1.037	0.999019	0.000025	-8176.291504	0.227093	0.029289	0.000914	0.000000	0.000000
1.144	0.997897	0.000038	-8158.746582	0.336764	0.052891	0.001593	0.000000	0.000000
1.251	0.996010	0.000053	-8129.870605	0.457313	0.081520	0.002386	0.000000	0.000000
1.359	0.992955	0.000073	-8084.219238	0.605525	0.121232	0.003532	0.000000	0.000000
1.466	0.988285	0.000100	-8017.085449	0.791140	0.177754	0.005104	0.000000	0.000000
1.573	0.981697	0.000132	-7925.794434	0.991763	0.242524	0.006863	0.000000	0.000000
1.681	0.972216	0.000177	-7801.868164	1.233080	0.328548	0.009417	0.000000	0.000000
1.788	0.958828	0.000234	-7637.401367	1.503486	0.431562	0.012610	0.000000	0.000000
1.895	0.938792	0.000334	-7418.157715	1.828430	0.568022	0.016186	0.000000	0.000000
2.003	0.910212	0.000484	-7140.698242	2.209100	0.742666	0.021052	0.000000	0.000000
2.110	0.862803	0.000792	-6766.233398	2.664869	0.973570	0.027640	0.000000	0.000000
2.114	0.861355	0.000821	-6754.749023	2.677958	0.979175	0.028049	0.000000	0.000000
2.119	0.859180	0.000778	-6735.577637	2.714357	1.001908	0.029014	0.000000	0.000000
2.123	0.857029	0.000828	-6718.354980	2.808768	1.068489	0.029768	0.000000	0.000000
2.127	0.854386	0.000829	-6699.189453	2.782234	1.044177	0.029631	0.000000	0.000000
2.131	0.847178	0.000952	-6669.149414	2.874747	1.110293	0.031835	0.000000	0.000000
2.136	0.845560	0.000969	-6656.198730	2.844488	1.082685	0.030430	0.000000	0.000000
2.140	0.845123	0.000884	-6640.407227	2.791801	1.038775	0.031196	0.000000	0.000000
2.144	0.843917	0.000914	-6629.363770	2.924439	1.135272	0.032012	0.000000	0.000000
2.149	0.840834	0.000888	-6606.540527	2.890008	1.104279	0.032202	0.000000	0.000000
2.153	0.832341	0.001077	-6575.675781	2.868419	1.083515	0.031403	0.000000	0.000000
2.157	0.834629	0.000917	-6571.525391	2.853944	1.068349	0.030388	0.000000	0.000000
2.161	0.826070	0.001229	-6542.708984	3.004559	1.179396	0.033194	0.000000	0.000000
2.166	0.823109	0.001103	-6517.483398	2.914081	1.105047	0.032641	0.000000	0.000000
2.170	0.823812	0.001122	-6507.599121	3.056458	1.210870	0.035087	0.000000	0.000000
2.174	0.810152	0.001588	-6465.492188	3.152137	1.282795	0.038967	0.000000	0.000000
2.179	0.807005	0.001440	-6446.294434	3.351351	1.444363	0.040920	0.000000	0.000000
2.183	0.805302	0.001295	-6429.684570	3.189154	1.302808	0.036917	0.000000	0.000000
2.187	0.802236	0.001434	-6410.165039	3.138294	1.256646	0.035149	0.000000	0.000000
2.191	0.803187	0.001466	-6403.604980	3.162737	1.271311	0.035791	0.000000	0.000000
2.196	0.781689	0.002236	-6347.243652	3.554368	1.599385	0.047568	0.000000	0.000000
2.200	0.785921	0.001626	-6335.224609	3.293392	1.367797	0.040198	0.000000	0.000000
2.204	0.787844	0.001587	-6332.744629	3.379682	1.434815	0.044138	0.000000	0.000000
2.209	0.763860	0.001993	-6271.148438	3.439167	1.480007	0.040660	0.000000	0.000000
2.213	0.759994	0.002292	-6249.095215	3.490930	1.518993	0.044528	0.000000	0.000000
2.217	0.751243	0.002403	-6220.307617	3.586275	1.596908	0.043689	0.000001	0.000000
2.221	0.752286	0.001915	-6196.516602	3.489837	1.506349	0.040750	0.000000	0.000000
2.226	0.673632	0.007161	-6130.032715	4.377607	2.361103	0.072219	0.000005	0.000000
2.230	0.755094	0.001678	-6172.584473	3.447569	1.458802	0.039947	0.000000	0.000000
2.234	0.735850	0.002292	-6127.428223	3.718189	1.690307	0.047689	0.000000	0.000000
2.239	0.712280	0.002766	-6074.600586	3.845458	1.801085	0.050521	0.000001	0.000000
2.243	0.701250	0.003837	-6062.720215	3.975797	1.917897	0.052492	0.000001	0.000000
2.247	0.616968	0.006544	-5966.311035	4.337769	2.274319	0.058071	0.000004	0.000000
2.251	0.680842	0.003659	-5986.280762	4.202199	2.126262	0.059475	0.000001	0.000000
2.256	0.619499	0.004566	-5922.809082	4.032938	1.950989	0.053039	0.000002	0.000000
2.260	0.558592	0.005277	-5825.275879	4.253611	2.162115	0.055849	0.000003	0.000000
2.264	0.678414	0.002966	-5935.421387	4.050919	1.953551	0.055851	0.000001	0.000000
2.269	0.634238	0.004217	-5854.246094	4.085211	1.979266	0.054529	0.000002	0.000000
2.273	0.622972	0.004279	-5826.675781	4.210773	2.094882	0.056204	0.000002	0.000000
2.277	0.587951	0.005157	-5783.864746	4.215438	2.091630	0.057312	0.000002	0.000000
2.281	0.613457	0.004270	-5789.739258	4.076212	1.948408	0.052148	0.000002	0.000000
2.286	0.542530	0.004748	-5682.831543	4.243536	2.103739	0.057182	0.000002	0.000000
2.290	0.318724	0.012770	-5609.326660	4.459470	2.314599	0.061514	0.000014	0.000000
2.294	0.039460	0.015686	-5559.524414	4.117423	1.965785	0.056626	0.000022	0.000000
2.299	0.441232	0.006809	-5558.643066	4.322196	2.158108	0.058467	0.000004	0.000000
2.303	0.091478	0.013468	-5467.884277	3.760407	1.627480	0.045927	0.000016	0.000000
2.307	0.345511	0.010116	-5507.338379	3.943584	1.783254	0.050337	0.000009	0.000000
2.311	0.037854	0.013456	-5425.124512	3.952399	1.784599	0.049308	0.000016	0.000000
2.316	0.481268	0.006308	-5516.895996	4.221491	2.028345	0.054206	0.000003	0.000000
2.320	0.125742	0.012927	-5392.321289	3.786877	1.626172	0.046084	0.000015	0.000000
2.324	0.063396	0.013237	-5352.952637	4.027122	1.832275	0.053435	0.000015	0.000000
2.329	0.193883	0.012774	-5364.352539	3.856813	1.674396	0.047413	0.000014	0.000000
2.333	0.104823	0.006645	-5244.042480	3.354492	1.261994	0.035106	0.000004	0.000000
2.337	0.016924	0.010793	-5264.229980	3.643941	1.483721	0.042108	0.000010	0.000000
2.341	0.152017	0.006948	-5199.348633	3.385193	1.275807	0.036185	0.000004	0.000000
2.346	0.023891	0.009115	-5186.465820	3.588020	1.428037	0.041125	0.000007	0.000000
2.350	0.153552	0.009188	-5180.962891	3.310378	1.211154	0.034685	0.000007	0.000000
2.354	0.072802	0.009801	-5173.448730	3.689212	1.498749	0.042907	0.000008	0.000000
2.359	0.039853	0.008511	-5133.006836	3.379277	1.252938	0.035190	0.000006	0.000000
2.363	0.090356	0.007209	-5097.448242	3.202394	1.121127	0.031325	0.000004	0.000000
2.367	0.060092	0.007754	-5087.531738	3.587629	1.401994	0.044717	0.000005	0.000000
2.371	0.032114	0.009771	-5100.765137	3.481862	1.315779	0.038847	0.000008	0.000000
2.376	0.044871	0.005623	-5047.353027	3.274257	1.159357	0.031524	0.000003	0.000000
2.380	0.136524	0.008080	-5053.171875	3.451108	1.283344	0.036182	0.000006	0.000000
2.384	0.066615	0.006197	-4998.309570	3.166388	1.076445	0.030176	0.000003	0.000000
2.389	0.058048	0.008852	-5014.548340	3.422860	1.253378	0.035311	0.000007	0.000000
2.393	0.035124	0.007033	-4964.442871	3.386756	1.222684	0.035863	0.000004	0.000000
2.397	0.055389	0.007533	-4970.809570	3.395326	1.224490	0.035153	0.000005	0.000000
2.401	0.032914	0.007017	-4924.136719	3.249840	1.117802	0.031484	0.000004	0.000000
2.406	0.019780	0.006496	-4901.978027	3.212774	1.088560	0.030961	0.000004	0.000000
2.410	0.023992	0.006446	-4884.565430	3.217334	1.087773	0.030731	0.000004	0.000000
2.524	0.021798	0.003973	-4458.714355	2.969578	0.845159	0.023815	0.000001	0.000000
2.637	0.007834	0.003090	-4107.131836	2.741783	0.659749	0.018689	0.000001	0.000000
2.751	0.003871	0.002554	-3830.799316	2.617914	0.552840	0.015200	0.000000	0.000000
2.864	0.005735	0.002205	-3593.451904	2.498916	0.464569	0.013428	0.000000	0.000000
2.978	0.001830	0.001914	-3385.317139	2.433057	0.407452	0.011629	0.000000	0.000000
3.091	0.000772	0.001782	-3205.421631	2.438745	0.379834	0.010844	0.000000	0.000000
3.205	0.001084	0.001589	-3048.721680	2.328835	0.322256	0.009111	0.000000	0.000000
3.319	0.000750	0.001416	-2903.410889	2.284577	0.289261	0.008070	0.000000	0.000000
3.432	0.000260	0.001365	-2774.972412	2.263089	0.265371	0.007685	0.000000	0.000000
3.546	0.001999	0.001308	-2660.137695	2.216709	0.238556	0.006774	0.000000	0.000000
3.659	0.000388	0.001260	-2549.060791	2.188093	0.218232	0.006149	0.000000	0.000000
3.773	0.001090	0.001181	-2452.227539	2.143204	0.196955	0.005516	0.000000	0.000000
3.886	0.000073	0.001151	-2366.220703	2.144588	0.185852	0.005166	0.000000	0.000000
4.000	0.000856	0.001104	-2280.389648	2.108441	0.169583	0.004791	0.000000	0.000000
