T	M_avg	M_err	E_avg	E_err	Cv	Cv_err
1.000	0.999285	0.000613	-116.000000	0.000000	0.022997	0.000502
1.151	0.997824	0.001099	-116.000000	0.000000	0.052916	0.001087
1.303	0.994661	0.001830	-115.000000	0.000000	0.102687	0.001994
1.454	0.988839	0.002754	-114.000000	0.000000	0.170408	0.003416
1.606	0.979202	0.004171	-112.000000	0.000000	0.265388	0.005246
1.757	0.963069	0.006322	-109.000000	0.000000	0.390223	0.007775
1.909	0.937373	0.009578	-105.000000	1.000000	0.540112	0.011036
2.060	0.889352	0.017376	-99.000000	1.000000	0.821661	0.016479
2.071	0.879065	0.020970	-98.000000	1.000000	0.943498	0.018249
2.083	0.876951	0.021280	-98.000000	1.000000	0.970524	0.019913
2.094	0.873958	0.020321	-97.000000	1.000000	1.005594	0.019834
2.106	0.865999	0.021760	-96.000000	1.000000	0.950477	0.018760
2.117	0.860189	0.021277	-96.000000	1.000000	0.956660	0.018980
2.129	0.847914	0.027546	-95.000000	2.000000	1.112949	0.023907
2.140	0.843240	0.025864	-94.000000	1.000000	1.060989	0.020456
2.151	0.840125	0.026424	-94.000000	1.000000	1.035942	0.021799
2.163	0.827991	0.028485	-93.000000	2.000000	1.100072	0.021206
2.174	0.822009	0.034015	-92.000000	2.000000	1.223119	0.023992
2.186	0.795383	0.047130	-91.000000	2.000000	1.360309	0.026053
2.197	0.779312	0.057252	-90.000000	2.000000	1.496267	0.027410
2.209	0.758678	0.067468	-89.000000	2.000000	1.509838	0.029276
2.220	0.757274	0.065589	-88.000000	2.000000	1.514334	0.032910
2.231	0.756451	0.046886	-88.000000	2.000000	1.483289	0.030615
2.243	0.712899	0.069032	-86.000000	2.000000	1.583429	0.032218
2.254	0.694591	0.093146	-85.000000	2.000000	2.043206	0.040045
2.266	0.658200	0.081725	-84.000000	2.000000	1.486131	0.027793
2.277	0.578732	0.112226	-82.000000	2.000000	1.661135	0.032900
2.289	0.484880	0.229741	-80.000000	3.000000	2.194667	0.040053
2.300	0.242305	0.194393	-78.000000	2.000000	1.554097	0.033616
2.311	0.328081	0.191021	-77.000000	2.000000	1.808255	0.036239
2.323	0.403675	0.134503	-77.000000	2.000000	1.558974	0.030456
2.334	0.388092	0.200135	-77.000000	3.000000	2.150052	0.043796
2.346	0.180637	0.125527	-74.000000	2.000000	1.151812	0.022892
2.357	0.201857	0.146045	-73.000000	2.000000	1.439531	0.027608
2.369	0.202558	0.131842	-72.000000	2.000000	1.200329	0.024627
2.380	0.216165	0.116132	-72.000000	2.000000	1.239749	0.025322
2.391	0.157002	0.142990	-71.000000	2.000000	1.349492	0.028824
2.403	0.164293	0.123709	-70.000000	2.000000	1.094241	0.021905
2.414	0.141972	0.089136	-69.000000	2.000000	1.102107	0.021334
2.426	0.119169	0.088882	-69.000000	2.000000	1.054767	0.023655
2.437	0.099813	0.079648	-68.000000	2.000000	0.945224	0.018999
2.449	0.139797	0.110492	-67.000000	2.000000	1.015483	0.020316
2.460	0.104876	0.072329	-66.000000	2.000000	0.952245	0.018668
2.680	0.060851	0.049988	-57.000000	1.000000	0.644025	0.012857
2.900	0.043351	0.031986	-50.000000	1.000000	0.434549	0.008429
3.120	0.037083	0.028494	-45.000000	1.000000	0.357812	0.007230
3.340	0.032900	0.024756	-41.000000	1.000000	0.288554	0.005566
3.560	0.030679	0.022887	-38.000000	1.000000	0.227813	0.004527
3.780	0.027400	0.020778	-35.000000	1.000000	0.202053	0.004083
4.000	0.025893	0.019218	-33.000000	1.000000	0.174895	0.003476
