T	M_avg	M_err	E_avg	E_err	Cv	Cv_err	Chi	Chi_err
0.500	1.000000	0.000000	-8191.997559	0.002771	0.000019	0.000022	0.000000	0.000000
0.607	0.999996	0.000001	-8191.940918	0.013713	0.000311	0.000072	0.000000	0.000000
0.715	0.999973	0.000004	-8191.563477	0.037440	0.001675	0.000150	0.000000	0.000000
0.822	0.999877	0.000009	-8190.012207	0.080227	0.005814	0.000288	0.000000	0.000000
0.929	0.999621	0.000015	-8185.871094	0.141920	0.014234	0.000505	0.000000	0.000000
1.037	0.999038	0.000025	-8176.594238	0.225981	0.029003	0.000929	0.000000	0.000000
1.144	0.997922	0.000037	-8159.065430	0.331575	0.051273	0.001559	0.000000	0.000000
1.251	0.996008	0.000054	-8129.750977	0.465012	0.084287	0.002449	0.000000	0.000000
1.359	0.992962	0.000075	-8084.315430	0.625658	0.129428	0.003681	0.000000	0.000000
1.466	0.988360	0.000099	-8017.891113	0.790316	0.177384	0.004991	0.000000	0.000000
1.573	0.981787	0.000131	-7927.241211	0.983830	0.238659	0.006993	0.000000	0.000000
1.681	0.972241	0.000175	-7801.460938	1.222534	0.322953	0.009110	0.000000	0.000000
1.788	0.958696	0.000234	-7637.049316	1.481647	0.419117	0.011845	0.000000	0.000000
1.895	0.939252	0.000323	-7421.383789	1.815467	0.559997	0.016331	0.000000	0.000000
2.003	0.911254	0.000445	-7145.110840	2.133688	0.692827	0.019550	0.000000	0.000000
2.110	0.864622	0.000787	-6772.749023	2.703092	1.001698	0.029490	0.000000	0.000000
2.114	0.862038	0.000786	-6755.454590	2.650126	0.958928	0.028481	0.000000	0.000000
2.119	0.855770	0.000849	-6725.049805	2.727852	1.011895	0.027564	0.000000	0.000000
2.123	0.852734	0.000967	-6710.038574	2.772278	1.040907	0.029993	0.000000	0.000000
2.127	0.856341	0.000786	-6708.768555	2.717718	0.996312	0.027664	0.000000	0.000000
2.131	0.851351	0.000816	-6680.266113	2.758491	1.022308	0.028844	0.000000	0.000000
2.136	0.836779	0.001706	-6642.297852	2.964463	1.175941	0.033947	0.000000	0.000000
