T	M_avg	M_err	E_avg	E_err	Cv	Cv_err	Chi	Chi_err
0.500	1.000000	0.000000	-8191.999023	0.001600	0.000006	0.000012	0.000000	0.000000
0.607	0.999995	0.000002	-8191.919434	0.015999	0.000424	0.000083	0.000000	0.000000
0.715	0.999972	0.000004	-8191.546875	0.038424	0.001764	0.000163	0.000000	0.000000
0.822	0.999876	0.000009	-8189.979492	0.081462	0.005994	0.000299	0.000000	0.000000
0.929	0.999613	0.000015	-8185.751953	0.142433	0.014337	0.000506	0.000000	0.000000
1.037	0.999030	0.000025	-8176.479492	0.228623	0.029685	0.000975	0.000000	0.000000
1.144	0.997886	0.000038	-8158.622559	0.336506	0.052810	0.001627	0.000000	0.000000
1.251	0.995990	0.000054	-8129.567383	0.460553	0.082679	0.002438	0.000000	0.000000
1.359	0.992937	0.000075	-8083.978027	0.618806	0.126609	0.003683	0.000000	0.000000
1.466	0.988334	0.000100	-8017.414551	0.794433	0.179236	0.005292	0.000000	0.000000
1.573	0.981625	0.000131	-7924.863770	0.991070	0.242185	0.006975	0.000000	0.000000
1.681	0.972129	0.000173	-7800.915039	1.209548	0.316128	0.009248	0.000000	0.000000
1.788	0.958742	0.000237	-7637.625000	1.493711	0.425969	0.012177	0.000000	0.000000
1.895	0.939326	0.000321	-7421.592773	1.789594	0.544149	0.015312	0.000000	0.000000
2.003	0.911134	0.000453	-7144.698242	2.144225	0.699687	0.019635	0.000000	0.000000
2.110	0.860489	0.000898	-6761.415039	2.722885	1.016422	0.029439	0.000000	0.000000
2.114	0.860941	0.000890	-6756.302734	2.657073	0.963961	0.027352	0.000000	0.000000
2.119	0.856056	0.000966	-6728.712402	2.864547	1.115850	0.032439	0.000000	0.000000
2.123	0.856315	0.000799	-6719.107422	2.664006	0.961189	0.026245	0.000000	0.000000
2.127	0.852059	0.000875	-6693.842773	2.770277	1.035221	0.028744	0.000000	0.000000
2.131	0.851412	0.000874	-6685.875000	2.807183	1.058717	0.030662	0.000000	0.000000
2.136	0.846674	0.000970	-6659.979980	2.886417	1.114839	0.032676	0.000000	0.000000
2.140	0.838206	0.001198	-6622.172852	3.048795	1.238822	0.035442	0.000000	0.000000
2.144	0.838524	0.001047	-6614.866211	2.953303	1.157793	0.033131	0.000000	0.000000
